종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
0098N0,PLUS 자사주매입고배당주,12740,30,0.24,12747.0,-3.5167,25931,332,777,-0.05,한화자산운용 (PLUS)
458030,WON 국공채머니마켓액티브,54855,5,0.01,54856.0,0.6699,532,29,772,-0.0,우리자산운용 (WON)
292190,KODEX KRX300,48130,905,1.92,48164.0,7.8763,8128,403,770,-0.07,삼성자산운용 (KODEX)
412770,TIGER 글로벌AI플랫폼액티브,13315,75,0.57,13278.0,6.0048,391846,5266,767,0.28,미래에셋자산운용 (TIGER)
272910,ACE 중장기국공채액티브,105520,0,0.0,105449.0,-1.2124,0,0,756,0.07,한국투자신탁운용 (ACE)
211560,TIGER 배당성장,35450,250,0.71,35465.0,-6.6104,3114,111,755,-0.04,미래에셋자산운용 (TIGER)
365040,TIGER AI코리아그로스액티브,35895,525,1.48,35959.0,8.4463,10651,393,754,-0.18,미래에셋자산운용 (TIGER)
210780,TIGER 코스피고배당,22800,185,0.82,22826.0,-12.3263,7718,177,752,-0.11,미래에셋자산운용 (TIGER)
0190Y0,TIGER 구글밸류체인,9520,210,2.26,9515.0,,41630,396,752,0.05,미래에셋자산운용 (TIGER)
228810,TIGER 미디어컨텐츠,3160,50,1.61,3164.0,-34.8709,102910,328,751,-0.13,미래에셋자산운용 (TIGER)
157490,TIGER 소프트웨어,7980,170,2.18,7980.0,-16.0772,140139,1132,747,0.0,미래에셋자산운용 (TIGER)
0080X0,SOL 미국S&P500미국채혼합50,11650,60,0.52,11665.0,2.0043,37803,440,734,-0.13,신한자산운용 (SOL)
364960,TIGER BBIG,5965,45,0.76,5972.0,-24.7851,5407,32,731,-0.12,미래에셋자산운용 (TIGER)
441540,HANARO Fn조선해운,26545,1000,3.91,26536.0,-24.7086,11660,309,730,0.03,NH-Amundi자산운용 (HANARO)
